,,,,,
,,ورودی,,,خروجی
ردیف,نام بانک,"تعداد کارکنان  
","سپرده ها  
",دارایی های ثابت,مانده تسهیلات 
1,پست بانک,2941,"20,785,733","834,053","14,090,158"
2,خاورمیانه,111,"856,911","549,011","2,575,223"
3,ملت,27655,"529,960,167","39,379,519","470,950,318"
4,صادرات ,33079,"500,122,761","25,458,435",285019608
5,دی,743,"32,585,492","2,675,531","14,852,286"
6,سرمایه ,1444,"74,831,381","2,389,557","33,804,339"
7,پارسیان,4492,"30,691,015","6,604,454","257,715,462"
8,سینا,2440,"75,966,321","4,160,807","1,149,646"
9,انصار,"5,142","136,304,178","7,233,647","122,737,199"
10,کارآفرین,"1,723","60,911,006","7,141,000","45,102,785"
11,اقتصاد نوین,"3,039","195,334,712","9,614,473,397","164,096,997"
12,تجارت,25759,"482,061,223","14,524,579","321 ,035,400"
13,پاسارگاد,3396,"237,957,554","297,081,643","174,789,226"
14, حکمت ایرانیان ,839,3839455,"2,116,371","2,767,472"
15,گردشگری ,339(280),"14,108,221","20,276,054","3,506,360"
16,ایران زمین,2193,"9,314,577","2,313,198",2547912
