آذربايجان شرقي,استان: آذربايجان شرقي,  جوراب,280000 فوت مربع,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزار ووسايل پزشكي,5000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارپزشكي  اپتيكي,0 نامعتبر,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارپزشكي  اپتيكي,0 نامعتبر,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارپزشكي  اپتيكي,0 نامعتبر,,,
\,استان: آذربايجان شرقي, ابزاردستي برنده درمنزل,150000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارفلزي دندانپزشكي,100 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارفلزي دندانپزشكي,100 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزاركمكي دنده زني,10000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارگير رنده تراش وبرش,20000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارماشينهاي ابزاردقيق,2000 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارماشينهاي ابزاردقيق,400,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارماشينهاي ابزاردقيق,1000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارماشينهاي ابزاردقيق,1000,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارماشينهاي ابزاردقيق,400,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارماشينهاي ابزاردقيق,2000 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارها ودستگاههاي كنترل كننده مربوط به كشاورزي,50000 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارها ودستگاههاي كنترل كننده مربوط به كشاورزي  شيب سنج,50000 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارها ودستگاههاي كنترل كننده مربوط به كشاورزي  شيب سنج,50000 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاو وسايل اپتيكي,30000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاودستگاههاي تن,33121410,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاودستگاههاي تن,33121410,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاودستگاههاي تن,33121410,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاودستگاههاي مخصوص,15 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاودستگاههاي مخصوص انجام ازمايشات فيزيكي,1000,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاوقالبهاي چوبي,2 تن,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاوقالبهاي چوبي,2 تن,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل نيژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل نيژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل نيژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل ويژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل ويژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل ويژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل ويژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل ويژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاووسايل ويژه اندازه گيري بازبيني,0 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاي كنترلي,50 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاي مخصوص براده برداري,36 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاي مورد استفاده در دندانپزشكي,5000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهاي مورد استفاده در دندانپزشكي,100000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارهائي در دندانپزشكي,2000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزاروتجهيزات چشم پزشكي,4500 دستگاه,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارووسائل پزشكي,435000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابزارووسائل پزشكي,435000 عدد,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابسرد كن,2000,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابسرد كن ويخساز,500,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابسرد كن ويخساز,50,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابسرد كن ويخساز,26,,,
آذربايجان شرقي,استان: آذربايجان شرقي, ابسرد كن ويخساز,500,,,
