شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
224502,2506,2310150000,9741425,1054,197000,208,503170000,118500,241,13650000,229500,1679,13202312806,4645500,2561,19059593340,8249,14931925
202247,413,412700000,561850,266,30500,43,11689000,19500,17,1590000,7500,245,1503389744,495000,416,2052053204,1400,1114350
223016,4832,5245350000,32535450,1881,637500,383,583662000,330000,491,28950000,595500,3333,25099634357,10122000,4249,32455599937,15169,44220450
224978,3611,3892600000,24210975,1331,441000,245,189247000,244500,305,16940000,360000,2407,19149881099,7235500,3221,24171154656,11120,32491975
224504,4932,4554800000,29083175,1936,630000,242,183020000,208500,449,23650000,550500,2884,21176325979,8553500,3983,27493719108,14426,39025675
224977,4178,4357350000,25882075,1773,536000,270,263810000,225000,415,21860000,472500,3028,27793982463,9125000,4219,39183662294,13883,36240575
216536,3716,4301350000,23552225,1488,371500,272,188972000,253500,236,12840000,255000,2635,21827747469,7804000,3710,28718772302,12057,32236225
219935,5666,5600600000,35344700,1842,618500,387,376343000,405000,588,31790000,703500,4053,33771362114,12127500,5181,44654061969,17717,49199200
208073,1745,1732450000,8587975,832,195000,135,152358000,102000,138,7540000,163500,1584,13068178682,4570500,2138,16210757316,6572,13618975
224505,7175,5184700000,32727975,1919,567000,227,151300000,205500,491,22800000,612000,3065,20705868640,9013500,4354,26376935535,17231,43125975
385585,362,436600000,2474350,184,55500,54,74945000,51000,36,1930000,37500,477,3496839448,1438500,650,4439669654,1763,4056850
224506,3504,3579100000,21121225,1164,322000,238,228756000,208500,260,15930000,273000,2043,15329239773,6061500,2850,19618068914,10059,27986225
224507,4119,3694050000,17831300,1999,419000,443,351272000,300000,370,17080000,343500,2935,25292958946,8374500,4608,38631235287,14474,27268300
311373,1896,1943950000,11519200,906,266000,308,268630000,226500,218,10280000,231000,1552,13157430282,4624000,2113,19369001216,6993,16866700
310203,1906,1881250000,11039800,804,234500,234,192097000,219000,174,8990000,205500,1407,10923022209,4195000,1920,13998479833,6445,15893800
208791,5385,4662250000,27054225,1782,477500,303,236125000,235500,404,19840000,465000,3243,29640714089,9586500,4518,38925438179,15635,37818725
224808,6486,6742900000,39587900,2500,705500,452,414438000,372000,379,19550000,430500,4387,38300227028,12734000,5972,51018163401,20176,53829900
224809,3101,3704440000,21400875,1259,378500,261,448303000,205500,165,8760000,151500,2494,19951630763,7505000,3171,25143557768,10451,29641375
208088,5469,5237600000,31625950,1897,534000,344,296161000,310500,320,19330000,364500,3178,23319509589,9562000,4251,30209181525,15459,42396950
224553,6401,4007850000,22246625,1737,439500,202,280529000,163500,421,19220000,439500,2291,17910095131,6662500,3447,23382688963,14499,29951625
224810,4555,3630550000,20447600,1480,412500,219,163539000,198000,316,16230000,363000,2270,17817494755,6667000,3327,24891828722,12167,28088100
223657,3445,2836000000,17423300,1950,602500,328,253550000,331500,253,13630000,276000,2855,23996700317,8384000,4165,32489068093,12996,27017300
223659,3325,3053580000,18887765,1827,552500,331,277406000,337500,237,12280000,247500,2781,23324937299,7980000,3924,29710898104,12425,28005265
203008,3313,2600150000,12700700,1382,328500,218,127805000,202500,268,12970000,292500,2053,18015441860,5825000,3068,22664482135,10302,19349200
208068,6077,4315950000,25601575,2076,531000,264,173813000,285000,675,32800000,874500,2640,19962779875,7795500,3956,26934275130,15688,35087575
224533,2247,2070400000,10647950,879,168500,156,101937000,153000,114,5920000,112500,1487,13024897230,4199500,2447,17622792228,7330,15281450
224811,2955,3384200000,18668125,1150,311500,153,223351000,82500,211,12830000,237000,2193,18487635677,6361000,3020,24941800319,9682,25660125
223322,1942,1613650000,7925825,960,192000,169,144616000,171000,193,8360000,198000,1191,8740447782,3469500,1895,11228505281,6350,11956325
223321,1127,1023370000,5522110,667,139500,181,106048000,172500,112,6090000,120000,870,6849003268,2620000,1295,11711674422,4252,8574110
224812,3392,3027350000,17132600,1173,292500,317,512957000,301500,267,13400000,291000,1787,13630380367,5284500,2659,19503261875,9595,23302100
303361,3084,2679120000,15652325,1153,299500,249,212076000,225000,208,8790000,187500,1765,13623121050,5158500,2393,17443351578,8852,21522825
224552,2641,2449600000,11819675,1244,241000,224,166960000,163500,202,9470000,207000,1657,14021260774,4904500,2669,18699056211,8637,17335675
207973,6565,4303750000,23346525,2097,499000,313,232132000,321000,535,20270000,633000,2320,15847370292,6713000,4048,23913807685,15878,31512525
216608,5570,5610800000,34387600,2030,637000,307,204140000,270000,328,16900000,390000,3219,24631071250,9910000,4341,30781520230,15795,45594600
223080,1651,1621950000,5575745,978,105500,134,112228000,103500,140,7830000,136500,1056,7913430378,2713500,1729,12067610267,5688,8634745
203006,1401,1320100000,5495250,829,125000,142,89626000,73500,127,7150000,109500,1170,10748372756,3319000,1935,13109305692,5604,9122250
224555,3786,3445600000,19711925,2224,592000,254,218285000,225000,235,13840000,198000,3599,32141694382,10645500,5105,39876903622,15203,31372425
224556,5572,5195800000,33270700,1834,558500,336,188618000,333000,370,17910000,435000,2940,22889173744,8787000,4142,29142709435,15194,43384200
224557,5686,4229100000,23475300,1785,470500,167,161396000,142500,464,19360000,538500,2415,17706403366,7114000,3614,25556844691,14131,31740800
221578,5951,5558150000,37887900,2573,909000,393,295055000,399000,667,35330000,831000,4013,28072700574,12001000,5445,36941303754,19042,52027900
224558,5523,5027000000,35154725,1855,695500,369,207566000,427500,400,20420000,474000,2852,19112260354,8629500,3896,26514206554,14895,45381225
224559,606,732600000,3040875,506,100500,107,338340000,61500,179,7440000,180000,783,9407778314,2244000,1187,11448801343,3368,5626875
224803,4193,2924700000,13393450,1467,288000,245,153788000,228000,452,22810000,477000,1560,15228168313,4504500,2864,20603203172,10781,18890950
224949,5228,5427850000,33544825,2187,659000,315,241962000,309000,352,18190000,349500,3495,27697561632,10178500,4895,35526992815,16472,45040825
224649,1927,2053820000,10003650,851,179500,125,99426000,91500,178,10730000,159000,1451,12738700849,4200500,2239,17420579820,6771,14634150
221593,3332,3377450000,19288200,1306,362000,223,242517000,222000,291,18060000,303000,2306,17883844084,6980500,3251,24962978393,10709,27155700
384613,3281,3196600000,17927350,1280,352500,196,319130000,187500,256,12530000,292500,2328,17203060886,6894000,3167,23514265169,10508,25653850
224650,3857,4139900000,24933050,1240,425500,351,403528000,304500,425,19970000,514500,2515,19972354903,7586500,3305,25132794698,11693,33764050
224813,5178,5284300000,33042900,2076,587500,373,326199000,373500,469,26010000,550500,3600,30673072357,10768500,5209,42142974447,16905,45322900
224814,6615,5795350000,35793925,2452,700000,352,337595000,307500,579,25660000,624000,3613,26075756947,10812500,5525,39316765749,19136,48237925
224799,6882,6864320000,45848235,2526,871500,383,368972000,393000,458,22850000,534000,4545,33721649996,13652000,5971,44391505758,20765,61298735
224798,7179,7049350000,47212825,2329,806500,359,349320000,366000,492,26660000,555000,4213,30201058794,12716500,5543,37893883624,20115,61656825
224804,2710,2285500000,13604675,911,219000,114,90753000,111000,268,12610000,327000,2411,24902705078,6996500,3352,31398255588,9766,21258175
216634,6643,5929400000,38367725,2313,796500,442,281082000,468000,689,27890000,790500,3776,25421130526,11151000,5140,32791478754,19003,51573725
225064,5671,4931050000,31408350,2063,728500,345,194131000,373500,724,30870000,825000,3140,20101749881,9427500,4433,28358780438,16376,42762850
206477,2415,1861950000,9217825,823,150000,167,160835000,178500,149,6150000,166500,1857,16841908104,5595000,3045,22245744005,8456,15307825
224805,3518,2894250000,16608575,1192,320000,164,138952000,126000,231,10860000,238500,2535,27543925515,7081000,3542,38146249637,11182,24374075
224806,3807,4021700000,20802050,1566,353000,382,677664000,246000,215,9650000,214500,2943,29128872528,8681000,4535,44029297627,13448,30296550
216651,6437,7221350000,47434675,2106,765500,372,307796000,352500,445,26630000,453000,3715,30724052726,11412000,4643,38822494166,17718,60417675
224774,8838,9372500000,63800150,2688,948000,431,422759000,442500,542,35580000,643500,5218,40838977669,15513000,6733,52718689844,24450,81347150
386449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224773,3625,2920200000,15017375,2043,470000,320,183833000,295500,561,24420000,582000,2750,19727063006,8236500,4548,29233954811,13847,24601375
226089,5280,3780550000,25700600,1302,373000,113,99603000,126000,294,15830000,366000,2778,31551157359,8049500,4400,49352269150,14167,34615100
224830,4986,4363200000,25453675,2024,503500,388,368108000,361500,387,18670000,430500,2914,24654996629,8652000,5142,34440252891,15841,35401175
207975,4524,4489100000,24739675,2408,581000,299,328095000,244500,381,21640000,393000,3433,29618915271,10182000,5409,38078710127,16454,36140175
299142,3905,3379030000,18103640,1849,388500,454,246557000,498000,305,13360000,291000,2770,24847569294,8255500,4774,34699253317,14057,27536640
225240,4608,2951050000,20836050,1439,495500,71,44864000,84000,366,14590000,456000,2734,23119444927,8152000,3802,32335314140,13020,30023550
225239,4375,2889800000,20321800,1365,470500,106,111711000,111000,321,12920000,406500,2548,21164634261,7492000,3592,34610058679,12307,28801800
224797,4559,4127500000,24618550,1761,532000,475,232044000,529500,410,20910000,480000,2259,15498420537,6752500,3308,23358699597,12772,32912550
224796,4201,3630300000,22052825,1582,431000,384,199017000,427500,463,24790000,552000,2134,15116567484,6449500,3255,21158836174,12019,29912825
224790,3908,3470850000,15896700,2180,374500,322,202451000,261000,309,15870000,304500,2942,26528790877,8493000,5075,34847498446,14736,25329700
386263,5402,4111300000,28424425,2093,781000,229,170169000,234000,671,29450000,861000,3131,18064086053,9457000,4260,23318627809,15786,39757425
225293,5098,3845550000,25928400,1727,662000,198,179637000,214500,557,24240000,681000,2702,15980238809,8217000,3550,20453009424,13832,35702900
263015,3687,4203900000,23947475,1781,478000,417,478821000,337500,396,24290000,427500,2817,21379880107,8209000,3929,26966750382,13027,33399475
224775,3736,4013650000,21713675,1936,544000,337,199653000,333000,269,16010000,288000,3153,24027363758,9240000,4596,33760520078,14027,32118675
224776,3064,3339400000,18409725,1581,446000,339,282995000,288000,258,15540000,271500,2679,18933663664,7949000,3787,25680248074,11708,27364225
224815,5957,5335250000,35510450,2239,695500,403,221395000,408000,556,27540000,670500,3590,26599368393,10675000,4991,36387309015,17736,47959450
