شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
266538,13687,13705200000,96317325,3900,1471000,824,1118334000,850500,884,45120000,1087500,10895,74772669179,32941500,13328,96575229398,43518,132667825
203005,10072,10190900000,64971450,3216,1160500,646,440279000,678000,891,43340000,1086000,9594,69770875609,28812000,11718,95837017784,36137,96707950
228420,12761,9410850000,64727075,4257,1614000,929,477298000,1044000,1320,51190000,1650000,6676,39689013031,19992000,8476,54281745208,34419,89027075
384798,12642,8747650000,70159425,4385,2093000,613,300904000,852000,1520,63480000,2175000,6949,30133698009,21153500,8057,43280506523,34166,96432925
313374,10691,7963600000,64578920,4859,2355500,204,85637000,277500,1412,41220000,2062500,7476,45734171768,22677500,8917,64029967183,33559,91951920
336489,11268,7590730000,60025810,4053,1920000,414,182189000,583500,1397,45200000,1945500,7473,40370104655,22764000,8836,54276886797,33441,87238810
312798,12233,10056810000,77785710,3802,1712500,555,319151000,757500,1101,51990000,1476000,7262,44293841694,22167000,8449,56692580973,33402,103898710
351105,10811,7409820000,59649005,4605,2201000,549,196245000,774000,2142,59890000,3073500,7060,34888346097,21554000,8204,46493375159,33371,87251505
344840,9097,8469050000,57168450,3417,1296500,492,326508000,544500,726,35410000,903000,8554,59843152566,25809500,10501,77242421758,32787,85721950
384974,10915,8276530000,66543440,3927,1854500,360,264072000,486000,1791,65200000,2563500,7130,37518760609,21663000,8221,50377274974,32344,93110440
374700,9747,7334960000,58982180,4264,2032500,548,245692000,760500,1715,61560000,2469000,6916,36970054459,21106500,8060,52419806279,31250,85350680
271500,9116,8682500000,55255525,3417,1132500,990,1002013000,966000,652,35140000,709500,7413,58254018858,22167500,9506,71850514861,31094,80231025
217538,9067,9729050000,60801350,2840,1027500,597,700632000,585000,642,37580000,693000,8051,63722483867,23666500,9809,83599233382,31006,86773350
312726,8879,6460940000,51888930,3950,1885000,461,219437000,643500,1336,43010000,1902000,7538,41408306581,22938000,8835,56832519571,30999,79257430
226144,9493,7655580000,59986880,4457,2080500,611,329652000,855000,1326,49420000,1855500,7005,36570570846,21478500,7949,45773562435,30841,86256380
344841,8314,7816950000,52117325,3246,1229500,556,412706000,613500,725,36530000,852000,7998,56297788303,24066000,9797,73735817747,30636,78878325
221582,11520,10036400000,62177925,3095,1025000,893,456648000,870000,849,36890000,864000,5882,43746333075,17165500,8353,66234307369,30592,82102425
315594,11778,7908250000,64575350,4482,2188000,374,113780000,546000,1925,51580000,2806500,5502,28006047553,16730000,6519,40646111841,30580,86845850
319607,9797,7836060000,61728530,3724,1781500,810,350800000,1111500,1364,45810000,1888500,6742,38432309551,20583500,7835,50944424036,30272,87093530
326137,8323,9606900000,60739725,2848,1031000,977,1185837000,925500,753,41860000,894000,7922,60932124704,23418500,9347,75838693912,30170,87008725
224743,10533,7446300000,59782965,4106,1959000,302,165392000,408000,1971,61850000,2835000,6073,31148976422,18483000,7050,43215143672,30035,83467965
292108,9877,7959860000,63063115,3976,1870000,361,231347000,486000,1532,55410000,2146500,6582,32881065587,20084500,7696,44646305800,30024,87650115
374688,12256,7080950000,58138385,4933,2394500,402,121602000,579000,2732,64590000,3996000,4464,19850331663,13550500,5190,27625363567,29977,78658385
312728,10075,8554600000,68757435,3743,1798000,346,149031000,484500,1380,42410000,1978500,6517,39070833058,19819500,7659,54933123755,29720,92837935
385680,8006,7381950000,50782400,2771,1017000,642,379265000,699000,628,30780000,772500,7803,62229053655,23479000,9838,84089039411,29688,76749900
225050,8290,8508050000,57542875,2877,1026000,521,7790215000,588000,455,25670000,564000,7769,60471543640,23395500,9758,77963197531,29670,83116375
226535,8504,7860750000,52968175,3592,1351000,1212,882243000,1336500,812,37760000,987000,6893,48175525898,20946000,8603,65477486101,29616,77588675
221732,9255,7556700000,45372575,3465,1007500,907,457423000,826500,831,37050000,924000,6235,43915688509,18468500,8900,61338470547,29593,66599075
292115,10584,7160830000,57647680,4431,2131500,367,230357000,493500,2158,61650000,3127500,5511,25193082562,16833500,6472,38117406683,29523,80233680
386313,12790,8230700000,68735250,4384,2172500,276,101768000,409500,1979,55130000,2944500,4559,17792887420,13740500,5470,25638114654,29458,88002250
