شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
266538,13812,13755050000,97554075,3762,1449500,692,1570319000,781500,834,41990000,1002000,10862,78476559651,32788500,13374,102925207496,43336,133575575
203005,10162,10180300000,65471675,3175,1175000,627,462572000,666000,796,40420000,897000,9756,72160083985,29302000,11798,95244305247,36314,97511675
312798,12097,9916200000,76255115,3502,1574500,591,368092000,765000,1001,48760000,1339500,7856,47142300877,24022000,9235,60860693029,34282,103956115
224791,10268,8149860000,66298385,4085,1969000,507,273172000,724500,1493,46660000,2175000,7745,43393268468,23526000,9233,58304530205,33331,94692885
313374,12660,8913290000,71826360,4336,2096000,211,95257000,291000,1278,37480000,1861500,6453,38192414638,19575500,7699,55628631997,32637,95650360
344840,9261,8745250000,58632575,3229,1202000,467,382002000,519000,630,32720000,753000,8361,61168926194,25082000,10374,79544390857,32322,86188575
384798,11414,7644180000,61536090,3997,1894500,406,271771000,568500,1276,51380000,1828500,6724,30531058583,20405000,7781,41380330718,31598,86232590
315928,12138,7843870000,63884895,4508,2181000,218,99173000,301500,1844,52100000,2655000,5911,30158311039,17930000,6940,42359706862,31559,86952395
386459,10714,7230970000,58770870,4057,1935000,376,185084000,541500,1386,51340000,1999500,6791,29818128882,20699500,8200,42464348375,31524,83946370
221582,10934,9445350000,57499950,3468,1104000,959,433200000,1015500,1204,49930000,1231500,6316,44762162461,18368500,8562,63174584330,31443,79219450
326137,8726,9817700000,61188525,2865,1053500,798,1151207000,753000,789,39450000,925500,8225,63435579671,24436500,9828,80409215594,31231,88357025
386370,13844,9821650000,82844400,4847,2398000,556,196547000,831000,1826,53760000,2707500,4631,21458456673,13933500,5480,31354809752,31184,102714400
336489,11732,7772270000,61614120,3384,1586500,291,133059000,409500,1322,44340000,1852500,6613,34664179582,20178500,7799,52567255756,31141,85641120
344841,8252,7836750000,52308150,3212,1214500,532,335393000,553500,666,31850000,811500,8281,59337452172,24869500,10180,76999145767,31123,79757150
315594,12221,8141020000,66618070,4280,2097000,380,111171000,535500,1719,46600000,2508000,5726,29771266551,17389500,6752,40114010096,31078,89148070
271500,9108,8511250000,54845825,3391,1134000,921,584716000,1015500,700,38300000,820500,7302,57324916126,21747500,9319,75924321020,30741,79563325
226144,10253,8143250000,63470605,4002,1891000,544,294664000,754500,1248,48360000,1768500,6798,36248906410,20820000,7830,46518666924,30675,88704605
225050,8516,8917200000,60444775,2981,1065500,547,1358681000,616500,439,24970000,519000,7966,62366500490,23914500,10101,81776754308,30550,86560275
386212,12466,8076610000,64988705,4243,2030500,432,194771000,585000,2024,57800000,2943000,5156,24964644300,15716500,6043,33425151002,30364,86263705
217538,8922,9614850000,61191500,2646,968000,567,853868000,528000,583,37140000,709500,7946,62790528542,23458500,9537,77624428916,30201,86855500
315915,10624,7038790000,57431440,4687,2248500,356,123672000,510000,2233,61080000,3238500,5591,27239647750,16840000,6662,38432967985,30153,80268440
385680,8535,7913100000,54751475,2742,1043000,784,566666000,919500,587,30340000,700500,7746,59607824512,23660500,9752,78788263808,30146,81074975
384974,10267,7611980000,61059410,3383,1600500,385,237959000,528000,1450,53550000,2073000,6780,36288826783,20658500,7835,46966123003,30100,85919410
319607,10242,8534930000,67330200,3331,1588000,600,284276000,846000,1334,46040000,1885500,6783,37168957607,20684000,7716,47442698370,30006,92333700
385020,10079,8082750000,56842900,3404,1353000,615,384524000,738000,1298,47200000,1662000,6279,40727387088,18959500,8248,57214327611,29923,79555400
385733,11837,8479920000,68693345,4333,2097500,442,188483000,615000,1970,56510000,2868000,5151,24245725719,15636500,6054,35155714839,29787,89910345
315586,9490,7468200000,60542100,3834,1835500,322,151790000,451500,1445,45690000,2125500,6518,41087438909,19824000,7690,52912237556,29299,84778600
374688,12103,7197140000,58806655,4697,2295500,317,94799000,453000,2407,57430000,3502500,4442,19284033675,13499500,5215,29337351675,29181,78557155
385338,11265,9934990000,82175195,3139,1499500,964,456230000,1408500,1270,51030000,1863000,5810,33845215774,17659000,6705,44159452143,29153,104605195
386313,13193,8698650000,72887925,3907,1931500,269,84791000,403500,1818,54440000,2710500,4546,18230880219,13697500,5394,24659758014,29127,91630925
374700,9644,7278430000,58434780,3702,1756500,405,190903000,571500,1488,50470000,2104500,6465,35785836777,19714500,7419,46929069160,29123,82581780
385666,9527,8970800000,63747875,2989,1072000,600,340585000,667500,719,36620000,915000,6713,49361274559,20385500,8531,62977425124,29079,86787875
384800,10238,8176120000,67063725,3490,1696500,227,110445000,313500,1333,47450000,1951500,6277,33042661223,19082000,7210,47781584991,28775,90107225
221732,8973,7529500000,46879625,3353,995000,833,501850000,717000,792,38900000,855000,6208,44145498414,18468000,8574,59956577780,28733,67914625
385950,8676,6919000000,51883150,3075,1236500,502,301930000,604500,1056,48860000,1429500,6649,39773815268,20312500,8734,54887182803,28692,75466150
386042,10862,6922150000,57923250,3882,1913500,302,106158000,441000,1907,53350000,2832000,5388,24209480085,16250000,6278,32145120193,28619,79359750
292115,10462,7000900000,56364520,3912,1885500,253,158515000,337500,2007,61410000,2886000,5545,25945488461,16829500,6440,35961258956,28619,78303020
312726,9169,6720950000,53890000,3341,1599500,399,180587000,568500,1150,37010000,1644000,6633,35889311732,20191500,7820,51069880324,28512,77893500
384569,8332,7933290000,59663200,2862,1262500,621,428828000,792000,600,30120000,793500,7426,49736961066,22564500,8613,64958787626,28454,85075700
226535,8442,7720800000,52294125,3146,1177500,992,712161000,1125000,703,32940000,897000,6817,51024104111,20447000,8342,67071312165,28442,75940625
386343,8547,6323530000,53143615,3427,1692000,412,167375000,610500,981,37240000,1450500,6892,38031756413,20781500,8153,52769930088,28412,77678115
384576,9382,9385300000,63755525,2603,1004000,711,744233000,775500,450,25860000,552000,6755,51143139942,20431000,8321,65978693039,28222,86518025
222129,9612,7190070000,48542820,2989,1016500,466,278476000,492000,907,31040000,1069500,5649,42984400176,16794000,8578,59718600295,28201,67914820
313371,10213,7792970000,62419495,3291,1591000,355,205702000,496500,1540,44510000,2238000,5900,33167343849,17992000,6897,50436736433,28196,84736995
215198,8235,7384300000,46090400,2718,819500,921,614464000,1029000,786,33380000,819000,6317,47865793019,18927000,9165,68716313060,28142,67684900
384802,9984,7694260000,63881835,4730,2340500,152,52738000,220500,1836,46830000,2713500,5158,23867882056,15649000,6019,34006189360,27879,84805335
216634,8838,7325550000,46469925,2695,953000,835,513631000,910500,1018,39250000,1167000,6347,42614870653,18788000,8071,58472693455,27804,68288425
326873,10231,7843550000,55579375,3141,1246500,594,382751000,775500,1223,44020000,1630500,5436,34335495251,16501500,7163,48558525282,27788,75733375
222082,8110,7687900000,51248200,3502,1310500,535,352314000,579000,653,31260000,807000,6643,48052607113,19917500,8333,60667521975,27776,73862200
386311,12014,7521250000,63100175,4355,2154000,177,79998000,265500,2093,58330000,3103500,4144,16195431547,12494500,4980,25372232067,27763,81117675
386031,10121,6730550000,56723900,3544,1759000,197,116657000,292500,2153,70890000,3202500,5405,21470668367,16263000,6327,31771785919,27747,78240900
386318,9420,6368400000,53077910,3872,1891500,245,113425000,364500,2349,76170000,3456000,5419,24805513625,16400000,6316,35335701196,27621,75189910
386356,7775,6571010000,51964410,2852,1347000,304,185346000,426000,929,37270000,1305000,7295,44952977321,22194000,8424,58737975623,27579,77236410
