شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
266538,13869,13771100000,94866800,4285,1664500,600,1108347000,679500,959,51250000,1200000,10723,73416581336,32403500,13152,98123103037,43588,130814300
313374,13207,9484640000,76574205,5332,2597000,249,111741000,351000,1558,44870000,2283000,7648,46709465283,23278000,9110,68049575919,37104,105083205
203005,10206,10018000000,63298225,3308,1181500,624,523805000,649500,791,42490000,940500,9113,65382901078,27536000,11301,87676656867,35343,93605725
228420,13259,9870550000,67610700,4278,1576000,1176,579982000,1260000,1282,53220000,1546500,6272,36455998025,18795500,8122,51774826860,34389,90788700
336489,12036,8013980000,63476980,4450,2108500,387,182923000,510000,1397,43420000,1971000,7238,38526224733,22143000,8640,50711779280,34148,90209480
279193,10155,10496150000,67024200,3352,1219000,604,790191000,568500,708,33710000,843000,8661,60871923496,25722500,10667,80384484326,34147,95377200
351105,11186,7700670000,61935080,4871,2326000,377,188009000,507000,2189,60940000,3157500,7093,35114977779,21641000,8265,48337502983,33981,89566580
344840,9902,8919550000,59138750,3544,1319000,782,663884000,805500,712,34850000,811500,8161,54557192419,24471000,10154,73844037686,33255,86545750
315594,12621,8540600000,69548020,4815,2342500,454,129394000,649500,2093,54650000,3084000,5905,28751039158,17941000,7117,44177756761,33005,93565020
374700,11279,8432190000,67063640,4350,2079500,569,269648000,795000,1703,58060000,2445000,6662,33385992667,20324500,7680,44053953175,32243,92707640
312798,12860,10429650000,79618395,3698,1650000,272,197027000,357000,1061,47510000,1446000,6545,38562520905,19964500,7790,50952182060,32226,103035895
384798,12099,8215260000,66165360,4395,2094000,520,234500000,723000,1549,62890000,2247000,6226,25896986452,18926000,7245,34451616536,32034,90155360
384974,11326,8351070000,66781355,4174,1984000,357,186508000,463500,1645,59280000,2361000,6729,34994284084,20486000,7739,44174808089,31970,92075855
217538,9235,9813450000,61352150,3116,1115000,402,467960000,364500,662,36130000,744000,8173,62894496985,24062000,9893,77997127395,31481,87637650
344841,8513,7889800000,51614550,3357,1278000,742,813588000,748500,698,33420000,774000,7830,50734893999,23659500,9841,71283330893,30981,78074550
315611,12280,7530020000,60510480,4294,2026500,358,177656000,501000,867,36990000,1240500,5939,26259054867,18040500,7103,35483946796,30841,82318980
326137,8764,10033400000,61730400,3044,1123000,593,871829000,595500,760,38170000,919500,7998,59462587497,23693000,9417,73619858258,30576,88061400
312726,9727,6863550000,55108135,3812,1811000,605,246553000,850500,1374,41530000,1945500,6818,37747735846,20758000,8111,51267262527,30447,80473135
385680,8888,8033450000,54888325,3087,1171500,462,353024000,504000,657,33250000,792000,7641,58050186318,23067000,9604,80179511553,30339,80422825
221732,10064,8066250000,49377775,3700,1138500,513,308052000,456000,886,35670000,1014000,6325,44641389162,18715000,8801,60367092443,30289,70701275
292108,10490,8488580000,66949230,3995,1879000,345,261344000,465000,1571,57900000,2199000,6348,28673381973,19337500,7401,36835086659,30150,90829730
385772,13342,8551150000,71894275,5072,2518000,538,174902000,807000,2067,54220000,3078000,4155,14894926109,12547500,4942,24027301076,30116,90844775
301025,11650,6969180000,56562485,4721,2285000,393,136857000,561000,2499,64380000,3646500,4919,23056440187,14908500,5794,30391907927,29976,77963485
319607,10645,8431250000,67316855,3784,1818500,500,256520000,703500,1465,45240000,2038500,6306,30778202157,19229000,7212,43462377340,29912,91106355
374688,12453,7012920000,57421580,5278,2578000,394,119968000,561000,2629,60450000,3823500,4177,18456020128,12734500,4955,31118509872,29886,77118580
271500,8840,8300400000,52022125,3509,1146000,919,786175000,888000,670,32230000,748500,6724,50859086913,19983000,8859,66937559826,29521,74787625
224743,10911,7615360000,60796335,4115,1959000,265,175025000,352500,1922,57100000,2730000,5639,26923469502,17177000,6642,38810305710,29494,83014835
226144,9817,7895920000,61233235,4282,2005000,547,236447000,735000,1290,47130000,1818000,6246,31411061603,19109500,7176,39868937610,29358,84900735
