شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,terminalID
266538,12845,12777300000,88701325,4026,1593000,753,639564000,859500,924,47480000,1123500,11011,77534510689,33208500,13505,99863568968,43064,266538
203005,9882,9698600000,63123975,3138,1150500,749,636473000,777000,846,43320000,964500,9416,69461382210,28401000,11590,92227775232,35621,203005
344840,9322,8494350000,56479525,3448,1298000,621,471423000,649500,822,44380000,1020000,8531,60868892175,25797500,10736,93557249986,33480,344840
228420,12024,8863800000,60721025,3764,1418000,1052,455730000,1185000,1313,53180000,1596000,5974,37614114230,17772500,7719,57767174356,31846,228420
386459,9590,6568470000,52932220,4493,2130000,400,182101000,550500,1609,59950000,2338500,7173,31593341651,21944500,8471,43742225422,31736,386459
221582,11887,10458300000,65030950,3475,1108500,495,317368000,516000,1317,54210000,1324500,6239,45846046347,18181000,8315,69272259887,31728,221582
224791,9461,7457890000,60929615,3890,1881500,462,256118000,678000,1887,58000000,2731500,7357,41172590619,22306500,8601,55641019581,31658,224791
225050,8839,9268400000,62034275,2854,1048000,647,5261236000,718500,487,29690000,589500,8231,64846621834,24825500,10384,83743638460,31442,225050
344841,8043,7422700000,49785350,3295,1239000,659,398711000,652500,649,27670000,802500,8271,59430538276,24717500,10239,82390789186,31156,344841
384974,9770,7478720000,60155605,3888,1838500,315,234392000,439500,1644,58060000,2337000,7091,36794621138,21530500,8234,46343412334,30942,384974
386370,13326,9479950000,79805650,5234,2590000,272,106482000,405000,2089,58160000,3085500,4565,20361822984,13761500,5376,32468579660,30862,386370
319607,10120,8192290000,64472330,3565,1702000,518,212426000,712500,1493,50400000,2101500,6879,39081592652,20984000,7860,50677695632,30435,319607
271500,8760,8463950000,54420400,3379,1109500,949,817503000,1005000,816,42620000,952500,7169,56037973693,21321500,9288,74291922278,30361,271500
226144,9454,7745110000,60411540,4149,1949000,648,315548000,888000,1377,55310000,1948500,6788,35623952145,20836000,7839,46150797771,30255,226144
313374,10480,7396250000,60150590,4460,2173000,205,88171000,288000,1353,39590000,1965000,6265,38175301666,19082000,7468,54610097434,30231,313374
301025,11738,7083140000,57440705,4280,2073500,427,135897000,603000,2402,63570000,3510000,5237,25658634503,15916000,6068,36603808679,30152,301025
217538,8729,9384700000,58295125,2640,980000,374,467696000,348000,640,38690000,717000,7923,63800744456,23315000,9490,78992812478,29796,217538
384800,10205,8212060000,67090160,3709,1790000,162,78378000,234000,1482,53580000,2152500,6537,35513329938,19932500,7499,46381670490,29594,384800
385020,10039,7869500000,54895125,3597,1406500,530,348716000,616500,1442,47970000,1816500,5957,37423768992,18022500,7941,48676284208,29506,385020
386289,8983,7156120000,60512520,3888,1935000,202,81105000,303000,1283,41940000,1906500,6869,38381317561,20743000,8133,56050710555,29358,386289
385338,11247,9733040000,80287855,3337,1633000,705,355677000,1021500,1476,59660000,2157000,5795,36301874646,17585500,6757,46637698734,29317,385338
226535,8423,7776400000,52252050,3401,1282500,846,632641000,967500,847,38390000,1009500,6933,49115398969,20863000,8604,64590804855,29054,226535
315915,9963,6524360000,53237710,4716,2276000,280,81268000,405000,2368,61500000,3436500,5336,25553242646,16140000,6365,36955051306,29028,315915
215198,8714,7721850000,46326700,2964,867500,803,665658000,882000,920,39310000,970500,6211,48877882687,18607500,9109,69078581287,28721,215198
326137,7823,8870550000,55088075,2850,1030000,482,611127000,489000,743,39110000,862500,7700,59967071816,23035500,9122,75843960816,28720,326137
385680,7795,7162750000,48372650,2767,1015500,368,306137000,384000,575,28080000,688500,7571,61027259264,23033500,9581,80500965128,28657,385680
386318,8939,6248980000,51858585,4221,2068000,295,154625000,435000,2424,74370000,3555000,5832,27107452693,17696500,6928,40086595922,28639,386318
374688,11025,6482160000,53129250,4915,2406500,481,144213000,693000,2566,59910000,3715500,4427,18340389470,13442500,5158,25649404295,28572,374688
221732,8967,7466100000,45470750,3500,1038000,718,381280000,657000,852,41190000,903000,6017,40135495284,17978000,8391,55884249252,28445,221732
384798,9825,6665990000,53672145,3715,1770500,439,209181000,625500,1340,54320000,1929000,6030,27587217349,18364500,6941,40316950580,28290,384798
315594,9546,6202480000,50694085,4367,2129500,422,109696000,609000,1978,51550000,2901000,5504,28651482915,16711500,6472,42124095994,28289,315594
386212,10849,6988310000,56049510,4149,1990500,412,321780000,547500,2159,63340000,3126000,4883,22277514353,14873000,5768,30392495384,28220,386212
312728,8329,7104060000,57026160,3831,1830000,481,195853000,688500,1315,41700000,1885500,6505,37499217828,19833000,7728,57881216436,28189,312728
386313,11953,7504750000,62956100,4476,2219000,405,114047000,600000,2055,52810000,3061500,4216,16517901819,12711500,4996,27489874472,28101,386313
